trial,k,r,neighbor_mode,min_dense_points,runtime_sec,total_points,coverage_ratio,noise_ratio,n_clusters,effective_ports,largest_cluster_points,largest_cluster_share,mean_cluster_points,median_cluster_points,edge_count,transition_count,score,rss_mb
259,1400,0.0003,4,,0.020784299995284528,35881,0.9155541930269502,0.08444580697304982,417,76,1731,0.05269245989467596,78.77937649880096,29.0,1040,4519,0.9673320008475131,358.015625
235,1000,0.0003,4,,0.018566799990367144,35881,0.9352582146539952,0.06474178534600483,351,71,2650,0.07896775731569224,95.6068376068376,31.0,910,4391,0.9671095843144375,357.23046875
212,800,0.0003,8,,0.02047119999770075,35881,0.9435355759315515,0.05646442406844854,247,60,3083,0.0910648353271304,137.06477732793522,34.0,682,4001,0.9666679000805581,357.0546875
166,300,0.0005,8,,0.017080600024200976,35881,0.9505587915609933,0.04944120843900668,109,47,3434,0.1006831442225936,312.908256880734,66.0,353,3139,0.9666633814131174,357.15234375
165,300,0.0005,4,,0.019083400024101138,35881,0.9505587915609933,0.04944120843900668,121,50,3434,0.1006831442225936,281.87603305785126,66.0,405,3331,0.966566766873422,357.1640625
117,120,0.0005,4,,0.015878000005614012,35881,0.9733285025500962,0.026671497449903825,74,38,4771,0.13661092658343832,471.94594594594594,101.5,263,2815,0.965228448842257,355.56640625
236,1000,0.0003,8,,0.018990700016729534,35881,0.9352582146539952,0.06474178534600483,290,67,3080,0.0917813934084272,115.71724137931035,32.0,785,4163,0.9645264362507819,357.2109375
260,1400,0.0003,8,,0.018874999950639904,35881,0.9155541930269502,0.08444580697304982,348,74,2401,0.0730875772427019,94.39942528735632,30.0,851,4096,0.9633447660948342,358.00390625
106,120,5e-05,8,,0.016935299965552986,35881,0.9991639029012569,0.0008360970987431049,117,32,6431,0.1793813282753619,306.4188034188034,18.0,287,2663,0.9630820464796415,352.16015625
108,120,8e-05,8,,0.01843000005465001,35881,0.9979376271564337,0.0020623728435662514,108,33,6429,0.17954589884659425,331.5462962962963,21.5,293,2633,0.9626704029251705,352.1640625
100,120,1e-05,8,,0.033467400004155934,35881,1.0,0.0,123,31,6431,0.1792313480672222,291.7154471544715,16.0,306,2674,0.9625345501393595,355.1640625
98,120,5e-06,8,,0.03376449999632314,35881,1.0,0.0,123,31,6431,0.1792313480672222,291.7154471544715,16.0,306,2674,0.9625206456754611,355.09765625
102,120,2e-05,8,,0.03975709999212995,35881,1.0,0.0,123,31,6431,0.1792313480672222,291.7154471544715,16.0,306,2674,0.9622418848222198,355.1640625
110,120,0.0001,8,,0.02094409998971969,35881,0.9964326523786963,0.003567347621303729,100,33,6426,0.17973316924453892,357.53,24.0,274,2593,0.9621358070740074,352.1640625
189,500,0.0005,4,,0.017983199970331043,35881,0.9263398456007358,0.07366015439926421,188,64,3099,0.09323665683855828,176.79787234042553,47.0,602,3754,0.9620543541605888,357.171875
190,500,0.0005,8,,0.01951419998658821,35881,0.9263398456007358,0.07366015439926421,152,57,3099,0.09323665683855828,218.67105263157896,61.0,503,3488,0.9619805957907303,357.15234375
104,120,3e-05,8,,0.04847639997024089,35881,0.9991639029012569,0.0008360970987431049,117,32,6431,0.1793813282753619,306.4188034188034,18.0,287,2663,0.961602955605782,352.16796875
112,120,0.00015,8,,0.018501599959563464,35881,0.993729271759427,0.006270728240572954,94,32,6422,0.1801099394211353,379.3191489361702,28.5,261,2633,0.9615020546066614,352.20703125
114,120,0.0002,8,,0.016616799985058606,35881,0.9900783144282489,0.009921685571751104,86,31,6416,0.18060520760028148,413.0813953488372,34.0,251,2507,0.9605812773296764,355.58984375
119,120,0.001,4,,0.019107299973256886,35881,0.9328614029709317,0.06713859702906833,58,38,3746,0.11191443594646272,577.1034482758621,167.5,250,2651,0.9598950107467654,356.02734375
116,120,0.0003,8,,0.024371600011363626,35881,0.9858142192246593,0.014185780775340717,79,33,6397,0.18084925930114215,447.746835443038,58.0,247,2530,0.9590941151044201,355.58984375
118,120,0.0005,8,,0.016612600011285394,35881,0.9733285025500962,0.026671497449903825,65,34,6367,0.18231015920284047,537.2923076923076,116.0,215,2323,0.9560530372303198,355.5625
143,200,0.001,4,,0.01875839999411255,35881,0.9042111423873359,0.09578885761266409,77,47,3261,0.10051165084453212,421.35064935064935,151.0,332,3161,0.9550298053506265,355.84765625
238,1000,0.0005,8,,0.018080900015775114,35881,0.8730525905075109,0.12694740949248906,226,68,2145,0.0684734725148439,138.61061946902655,38.5,608,3352,0.953680463769846,356.875
237,1000,0.0005,4,,0.019240399997215718,35881,0.8730525905075109,0.12694740949248906,274,74,2145,0.0684734725148439,114.32846715328468,37.5,745,3549,0.9536245933633819,356.69140625
144,200,0.001,8,,0.01624849997460842,35881,0.9042111423873359,0.09578885761266409,66,40,3543,0.10920355073357169,491.57575757575756,152.0,252,2616,0.9534126400770285,355.77734375
213,800,0.0005,4,,0.016166099987458438,35881,0.8896630528692065,0.11033694713079345,240,60,2978,0.09328989411690997,133.00833333333333,38.5,651,3470,0.9529623386499779,357.17578125
214,800,0.0005,8,,0.01685469999210909,35881,0.8896630528692065,0.11033694713079345,194,56,3072,0.09623457176868618,164.5463917525773,40.5,499,3114,0.9523400824728382,357.1640625
95,80,0.001,4,,0.061469700012821704,35881,0.9486636381371757,0.05133636186282431,43,31,5451,0.1601398395957578,791.6046511627907,210.0,195,2419,0.9522424421010216,355.88671875
83,80,8e-05,4,,0.05601020000176504,35881,0.9984114155123882,0.0015885844876117883,92,28,6120,0.17083519428316213,389.39130434782606,18.5,267,2764,0.9487002800474588,355.75
120,120,0.001,8,,0.0172267000307329,35881,0.9328614029709317,0.06713859702906833,47,34,5636,0.16837954110898662,712.1702127659574,206.0,199,2295,0.9486926941987469,355.515625
